City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,port lincoln,-34.7333,135.8667,15.75,57,40,2.78,AU,1712883922
298,selkirk,50.1436,-96.8845,3.98,74,83,6.24,CA,1712884109
299,belozersk,60.0326,37.7957,5.55,71,100,5.81,RU,1712884146
300,aykhal,66.0,111.5,-20.66,88,15,2.49,RU,1712884146
301,gwadar,25.1216,62.3254,25.4,87,49,2.2,PK,1712884147
302,cintalapa de figueroa,16.7333,-93.7167,20.81,54,95,7.37,MX,1712884147
303,willows,39.5243,-122.1936,28.06,62,0,5.88,US,1712884147
304,inhambane,-23.865,35.3833,21.11,75,97,5.54,MZ,1712884111
305,lhasa,29.65,91.1,4.2,50,34,1.84,CN,1712884147
306,monze,-16.2833,27.4833,19.06,92,100,4.4,ZM,1712884147
307,taltal,-25.4,-70.4833,18.11,81,9,1.6,CL,1712884147
308,nuuk,64.1835,-51.7216,-2.66,86,40,3.09,GL,1712884080
309,kingston,17.997,-76.7936,25.67,79,98,1.9,JM,1712884007
310,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1712884120
311,arteche,12.2645,125.4048,28.43,75,27,3.5,PH,1712883907
312,buta,2.7858,24.73,22.27,90,100,1.38,CD,1712884148
313,lesnoy,57.6198,63.0784,6.36,92,100,5.9,RU,1712884148
314,corumba,-19.0092,-57.6533,24.24,97,100,1.01,BR,1712884148
315,anshun,26.25,105.9333,16.5,88,99,1.84,CN,1712883970
316,siracusa,37.0881,15.2792,13.51,87,100,6.07,IT,1712884149
317,midvagur,62.0511,-7.1939,8.46,93,100,6.69,FO,1712884149
318,glace bay,46.1969,-59.957,2.1,91,49,2.68,CA,1712884141
319,viedma,-40.8135,-62.9967,12.39,76,99,2.54,AR,1712883899
320,pundong,-7.9522,110.3486,27.44,83,88,1.57,ID,1712884149
321,victorica,-36.2151,-65.4359,8.21,86,100,6.17,AR,1712884149
322,arris,35.2588,6.3471,3.83,82,100,4.88,DZ,1712884149
323,tarko-sale,64.9225,77.785,-17.29,87,100,9.83,RU,1712884149
324,laguna,38.421,-121.4238,28.16,47,0,3.6,US,1712884150
325,levuka,50.1834,-105.4011,10.85,20,20,2.57,CA,1712884150
326,fenghua,29.6563,121.4064,16.83,96,99,1.3,CN,1712884150
327,poronaysk,49.2167,143.1167,11.56,55,1,4.02,RU,1712883947
328,barra do bugres,-15.0725,-57.1811,23.96,88,100,1.48,BR,1712884097
329,kambove,-10.8764,26.5969,16.78,99,98,1.49,CD,1712884150
330,roma,43.2128,-75.4557,18.23,85,100,6.17,US,1712883964
331,nguigmi,14.2495,13.1092,27.55,15,83,5.41,NE,1712884151
332,klimovo,52.3805,32.1923,8.44,66,71,3.21,RU,1712884151
333,molteno,-31.3968,26.3625,3.04,79,0,2.13,ZA,1712884151
334,porto novo,6.4965,2.6036,29.9,80,100,4.77,BJ,1712883909
335,pangai,-19.8,-174.35,27.02,79,53,3.26,TO,1712884039
336,barceloneta,18.4505,-66.5385,26.08,91,94,6.55,PR,1712884151
337,holualoa,19.6228,-155.9522,27.15,80,100,3.6,US,1712884088
338,anadyr,64.75,177.4833,-10.72,78,0,9.0,RU,1712883897
339,baiyin,36.5583,104.2081,13.72,25,100,0.51,CN,1712884152
340,san antonio de pale,-1.4014,5.6325,27.88,77,100,2.32,GQ,1712884152
341,hammerfest,70.6634,23.6821,1.25,86,100,3.6,NO,1712884152
342,magong,23.5654,119.5863,23.35,85,1,1.3,TW,1712884152
343,luderitz,-26.6481,15.1594,21.69,44,0,2.42,NA,1712883958
344,fortuna,40.5982,-124.1573,13.7,79,100,4.63,US,1712884152
345,sibut,5.718,19.0739,26.13,54,80,0.8,CF,1712884152
346,yigo village,13.5361,144.8886,30.62,72,75,6.17,GU,1712884152
347,sorong,-0.8833,131.25,28.81,74,100,4.24,ID,1712883894
348,bull savanna,17.8868,-77.5902,24.7,83,79,5.84,JM,1712884153
349,tazovsky,67.4667,78.7,-19.83,89,100,8.27,RU,1712883908
350,dryden,49.7833,-92.7503,2.88,97,100,3.14,CA,1712884153
351,saguenay,48.4168,-71.0657,6.71,92,100,8.75,CA,1712883564
352,tokar,18.4254,37.729,24.55,62,10,3.47,SD,1712884153
353,fruita,39.1589,-108.729,21.45,15,0,2.57,US,1712884153
